complex_name,complex_slug,complex_logo_url,region_id,latitude,longitude,partner_name,partner_address,phone_mobile1,phone_mobile2,phone_short,email,website,facebook,instagram,partner_logo_url,initial_payment_pct,mortgage_rate_pct,mortgage_period_years,min_loan_amount,max_loan_amount
Bayıl Residence,167-bayil-residence,https://ipoteka.birbank.az/api/files/temp,1,40.349407,49.83258,Fortis Bayıl MTK,"Bakı şəhəri., Qurban Abbasov küç. 29   SAPPHIRE PLAZA, 5- ci mərtəbə",0502772716,,,,www.fortis.az/projects/-park-bayil,,www.instagram.com/bayilresidence/,https://ipoteka.birbank.az/api/files/a00b9c9c-8915-432c-9a11-9bb8a3b24d14.jpg,20.0,16.5,20,30000.0,500000.0
Ancora Residence,976-ancora-residence,https://ipoteka.birbank.az/api/files/bf34ee90-550b-47a5-add1-84c4f980eed3.jpg,5,40.387417,49.88796,Fortis MTK,"Bakı Ağ Şəhər, 1-ci Fəvvarələr küçəsi, Fortis Residence binasi",0502772716,,,,www.ancoraresidence.az,www.facebook.com/ancora.residence.whitecity/,www.instagram.com/ancora_residence_whitecity/,https://ipoteka.birbank.az/api/files/4c126fa3-ed82-4fca-8d86-881830739afd.jpg,20.0,16.5,20,30000.0,500000.0
Alfa Zaqatala,446-alfa-zaqatala,https://ipoteka.birbank.az/api/files/01c73f82-128e-4418-9957-69452552847c.jpg,122,41.63359,46.633774,ASK Əmlak,"Zaqatala şəh., Azərbaycan PR 108",0552229962,,,,https://ask.gov.az/,,,https://ipoteka.birbank.az/api/files/d2d1db62-ed82-4952-88fe-860b90be4ab3.png,30.0,5.0,20,30000.0,500000.0
Aydınlı Yaşayış Kompleksi,168-aydinli-yasayis-kompleksi,https://ipoteka.birbank.az/api/files/aa544643-2b92-4478-a77f-189f7f871516.png,2,40.371452,49.831524,ASK Əmlak,"Zaqatala şəh., Azərbaycan PR 108",0552229962,,,,https://ask.gov.az/,,,https://ipoteka.birbank.az/api/files/d2d1db62-ed82-4952-88fe-860b90be4ab3.png,30.0,5.0,20,30000.0,500000.0
Daşınmaz əmlak agentliyi,531-dasinmaz-emlak-agentliyi,https://ipoteka.birbank.az/api/files/b12f4a30-c191-488f-96e1-f90cb4d3ad9e.png,4,40.388874,49.81549,AVALON MMC,"Bakı şəh., Yasamal ray., Şəfaət Mehdiyev küç / Bakı şəh., Xətai ray., Xocalı pr / Bakı şəh., Nəsimi ray., Hənifə Ələsgərova küç",0503310300,0502435919,,,www.avalon.az,,,https://ipoteka.birbank.az/api/files/639ff8cd-d115-421c-918d-2df73369ec25.png,15.0,5.0,20,20000.0,500000.0
AY Company,862-ay-company-,https://ipoteka.birbank.az/api/files/b54e32d5-7eb7-4d51-824c-eb3f1f6e4d0f.jpg,62,40.4602,49.75137,AY Company MTK,"Abşeron rayon, Xırdalan şəhəri, Bakı Sumqayıt yolu",0558555954,0508555954,,,,,ay_company_,https://ipoteka.birbank.az/api/files/e328dedb-3168-4998-8e46-79e60ebb67b2.png,30.0,5.0,20,20000.0,500000.0
,,,,,,Abşeron M MMC,"Bakı şəh., Yeni Günəşli, AB Yaşayış massivi",0502073632,,,,,,,https://ipoteka.birbank.az/api/files/temp,30.0,5.0,20,30000.0,500000.0
Whitestone Residence,056-whitestone-residence,https://ipoteka.birbank.az/api/files/temp,21,40.401424,49.864418,Ailə Park MTK (Whitestone Towers),"Bakı şəhəri, Nərimanov r., Təbriz və İ.Həsənoğlu küç. Kəsişməsi",0507003999,,3999,,whitestone.az/,,www.instagram.com/whitestonetowers/,https://ipoteka.birbank.az/api/files/374d1dc9-26aa-45cf-af65-55fcf86104db.png,30.0,5.0,20,20000.0,500000.0
Architectural Construction Group,597-architectural-construction-group,https://ipoteka.birbank.az/api/files/59250b45-f1da-4092-b9aa-34e943123938.jpg,21,40.406143,49.875423,Architectural Construction Group MMC,"Bakı şəh., Nərimanov ray. Əliyar Əliyev küç. 39",0505519521,,,,,,,https://ipoteka.birbank.az/api/files/60019da8-9920-4fe8-98ef-d0635a1605f4.jpg,30.0,5.0,20,20000.0,500000.0
Daşınmaz əmlak agentliyi,911-dasinmaz-emlak-agentliyi,https://ipoteka.birbank.az/api/files/temp,82,40.489613,50.15083,Arya Group MMC,"Bakı şəh., Mərdəkan qəs., Sergey Yesenin küç 78",0703001800,,,,,,,https://ipoteka.birbank.az/api/files/d775a26c-660c-4aca-b41c-4eefb5699b5a.jpeg,15.0,5.0,20,20000.0,500000.0
